fhdr_s size 20 entry_s size 14
mapped DB at 0x10c56a000
MAGIC number found
  data starts at 37
  free space starts at 117
da7a entry 0@0x10c56a014 offset = 20 len = 3 next = 96: hi
da7a entry 1@0x10c56a025 offset = 37 len = 4 next = 55: cat
da7a entry 2@0x10c56a037 offset = 55 len = 8 next = 77: chicken
da7a entry 3@0x10c56a04d offset = 77 len = 5 next = 20: fish
da7a entry 4@0x10c56a060 offset = 96 len = 7 next = 0: rooste
0 entry 5@0x10c56a075 offset = 117 len = 0 next = 0: <free>
0 entry 6@0x10c56a083 offset = 131 len = 0 next = 0: <free>
0 entry 7@0x10c56a091 offset = 145 len = 0 next = 0: <free>
0 entry 8@0x10c56a09f offset = 159 len = 0 next = 0: <free>
0 entry 9@0x10c56a0ad offset = 173 len = 0 next = 0: <free>
0 entry 10@0x10c56a0bb offset = 187 len = 0 next = 0: <free>
0 entry 11@0x10c56a0c9 offset = 201 len = 0 next = 0: <free>
0 entry 12@0x10c56a0d7 offset = 215 len = 0 next = 0: <free>
0 entry 13@0x10c56a0e5 offset = 229 len = 0 next = 0: <free>
0 entry 14@0x10c56a0f3 offset = 243 len = 0 next = 0: <free>
0 entry 15@0x10c56a101 offset = 257 len = 0 next = 0: <free>
0 entry 16@0x10c56a10f offset = 271 len = 0 next = 0: <free>
0 entry 17@0x10c56a11d offset = 285 len = 0 next = 0: <free>
0 entry 18@0x10c56a12b offset = 299 len = 0 next = 0: <free>
0 entry 19@0x10c56a139 offset = 313 len = 0 next = 0: <free>
0 entry 20@0x10c56a147 offset = 327 len = 0 next = 0: <free>
0 entry 21@0x10c56a155 offset = 341 len = 0 next = 0: <free>
0 entry 22@0x10c56a163 offset = 355 len = 0 next = 0: <free>
0 entry 23@0x10c56a171 offset = 369 len = 0 next = 0: <free>
0 entry 24@0x10c56a17f offset = 383 len = 0 next = 0: <free>
0 entry 25@0x10c56a18d offset = 397 len = 0 next = 0: <free>
0 entry 26@0x10c56a19b offset = 411 len = 0 next = 0: <free>
0 entry 27@0x10c56a1a9 offset = 425 len = 0 next = 0: <free>
0 entry 28@0x10c56a1b7 offset = 439 len = 0 next = 0: <free>
0 entry 29@0x10c56a1c5 offset = 453 len = 0 next = 0: <free>
0 entry 30@0x10c56a1d3 offset = 467 len = 0 next = 0: <free>
0 entry 31@0x10c56a1e1 offset = 481 len = 0 next = 0: <free>
0 entry 32@0x10c56a1ef offset = 495 len = 0 next = 0: <free>
0 entry 33@0x10c56a1fd offset = 509 len = 0 next = 0: <free>
0 entry 34@0x10c56a20b offset = 523 len = 0 next = 0: <free>
0 entry 35@0x10c56a219 offset = 537 len = 0 next = 0: <free>
0 entry 36@0x10c56a227 offset = 551 len = 0 next = 0: <free>
0 entry 37@0x10c56a235 offset = 565 len = 0 next = 0: <free>
0 entry 38@0x10c56a243 offset = 579 len = 0 next = 0: <free>
0 entry 39@0x10c56a251 offset = 593 len = 0 next = 0: <free>
0 entry 40@0x10c56a25f offset = 607 len = 0 next = 0: <free>
0 entry 41@0x10c56a26d offset = 621 len = 0 next = 0: <free>
0 entry 42@0x10c56a27b offset = 635 len = 0 next = 0: <free>
0 entry 43@0x10c56a289 offset = 649 len = 0 next = 0: <free>
0 entry 44@0x10c56a297 offset = 663 len = 0 next = 0: <free>
0 entry 45@0x10c56a2a5 offset = 677 len = 0 next = 0: <free>
0 entry 46@0x10c56a2b3 offset = 691 len = 0 next = 0: <free>
0 entry 47@0x10c56a2c1 offset = 705 len = 0 next = 0: <free>
0 entry 48@0x10c56a2cf offset = 719 len = 0 next = 0: <free>
0 entry 49@0x10c56a2dd offset = 733 len = 0 next = 0: <free>
0 entry 50@0x10c56a2eb offset = 747 len = 0 next = 0: <free>
0 entry 51@0x10c56a2f9 offset = 761 len = 0 next = 0: <free>
0 entry 52@0x10c56a307 offset = 775 len = 0 next = 0: <free>
0 entry 53@0x10c56a315 offset = 789 len = 0 next = 0: <free>
0 entry 54@0x10c56a323 offset = 803 len = 0 next = 0: <free>
0 entry 55@0x10c56a331 offset = 817 len = 0 next = 0: <free>
